"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"ENSG00000160072",49.4371288760663,0.140863950878686,0.337472308212272,0.417408917563931,0.676379333293786,0.999937207080344,1
"ENSG00000131584",16.8631909082963,-0.528177128819936,0.438350677015212,-1.20491915836965,0.228234511844994,0.999937207080344,1
"ENSG00000169972",22.1443270878326,-0.144666177606293,0.438303576270619,-0.330059313768803,0.741355144993373,0.999937207080344,1
"ENSG00000157911",20.2018097791972,0.0281553025839028,0.391715260484104,0.0718769612118427,0.942699824906564,0.999937207080344,1
"ENSG00000224051",21.0463307235646,1.24857959422714,0.677396476735821,1.84320355524092,0.0652992960180993,0.999937207080344,1
"ENSG00000157933",354.701802644855,0.111280178123215,0.109424617813853,1.0169574301143,0.309173680993415,0.999937207080344,1
"ENSG00000162591",7.22310159827386,-0.150888253875211,1.09094962650391,-0.138309093481018,0.889996139024269,0.999937207080344,1
"ENSG00000116285",32.6150448233617,-0.207290249364454,0.398441519141545,-0.520252632835723,0.602887505357665,0.999937207080344,1
"ENSG00000142655",49.5619746350306,0.0243650374657028,0.388059935814205,0.062786789402986,0.94993628564189,0.999937207080344,1
"ENSG00000162441",429.430584705768,-0.0614560496630598,0.161844948354749,-0.379721766343636,0.704151961069598,0.999937207080344,1
"ENSG00000074800",3603.32434450324,0.0010470574728158,0.0978721006319026,0.0106982221292439,0.9914642165582,0.999937207080344,1
"ENSG00000116786",136.156507237778,0.355320509117384,0.196476246028168,1.80846548272529,0.070534084323181,0.999937207080344,1
"ENSG00000176022",41.7367094236252,0.404508588998198,0.334193490385537,1.21040235862028,0.226124537295208,0.999937207080344,1
"ENSG00000162496",17.4310974656477,0.251069731894936,0.607124239919148,0.413539297868212,0.679211536697001,0.999937207080344,1
"ENSG00000173614",50.7191328445117,0.0425362428656833,0.341473666751829,0.124566685537708,0.900866604008534,0.999937207080344,1
"ENSG00000162592",7.82209529472362,-1.43940486496181,0.896579804981583,-1.60543975780424,0.108397060764093,0.999937207080344,1
"ENSG00000049245",675.833265355848,-0.0403873108433621,0.113936782742087,-0.354471224054,0.722985765728188,0.999937207080344,1
"ENSG00000171603",123.072872463615,0.158279333300724,0.185324168647955,0.85406741309275,0.393067638331575,0.999937207080344,1
"ENSG00000158109",326.722310265117,0.182666214689512,0.166155469902311,1.0993692521643,0.271607036812939,0.999937207080344,1
"ENSG00000037637",432.633813998354,0.0403920064853664,0.151974314979098,0.265781796686642,0.790407263285217,0.999937207080344,1
"ENSG00000159423",60.6070666492726,0.176336868239319,0.349373112745513,0.504723637298801,0.613752956663011,0.999937207080344,1
"ENSG00000142599",290.267050014906,-0.0765440852172213,0.126656425989922,-0.604344269301521,0.545614779791051,0.999937207080344,1
"ENSG00000011021",217.81643992279,-0.236623577113906,0.196192954777298,-1.20607581134858,0.227788260507601,0.999937207080344,1
"ENSG00000065526",3169.62188772031,-0.116369413862583,0.0737554661097237,-1.57777341803337,0.114617672681679,0.999937207080344,1
"ENSG00000157916",673.308918107649,0.109809058895171,0.0902684758725331,1.21647183951827,0.223805232095492,0.999937207080344,1
"ENSG00000157881",86.5018721563009,0.279164974403344,0.216308359984013,1.29058800327447,0.196846578141437,0.999937207080344,1
"ENSG00000116213",56.3527257057109,0.128560430635888,0.299466989335856,0.429297502609565,0.667706734049152,0.999937207080344,1
"ENSG00000048707",2048.44284950523,-0.219334746336071,0.111350303555679,-1.96977232510549,0.0488644696809597,0.999937207080344,1
"ENSG00000184677",441.921319716369,0.016773988134938,0.118812240644365,0.141180639671184,0.887727240179149,0.999937207080344,1
"ENSG00000131697",70.0010679286774,0.043987237802844,0.212482609088016,0.207015708210846,0.83599759084429,0.999937207080344,1
"ENSG00000188807",44.2251317671948,0.255740010379575,0.359133243729961,0.712103418005688,0.476400737876734,0.999937207080344,1
"ENSG00000198793",1589.8207911713,-0.0175243482301647,0.0900928043614191,-0.194514404944744,0.845773117617426,0.999937207080344,1
"ENSG00000171819",22.1598119183874,-0.855825786885513,0.390287616235618,-2.19280794799507,0.0283212190634371,0.999937207080344,1
"ENSG00000116288",1337.57577861054,0.223890114841317,0.10714506738963,2.0895979655988,0.0366539294464603,0.999937207080344,1
"ENSG00000169504",1678.45677343181,0.127196525197551,0.112843016891784,1.12719890606551,0.259658392911596,0.999937207080344,1
"ENSG00000181773",7.72920995565242,-1.01373440226767,0.873655700535305,-1.16033627623162,0.245911920366584,0.999937207080344,1
"ENSG00000233954",38.1501775436589,0.0499693686050619,0.297002440937722,0.16824564958892,0.866390029581181,0.999937207080344,1
"ENSG00000055070",300.493428882378,0.124679203182518,0.123898068237914,1.00630465797984,0.314269040505522,0.999937207080344,1
"ENSG00000175087",686.943144238202,0.0669599722751012,0.124839481207717,0.536368556063512,0.591703858519634,0.999937207080344,1
"ENSG00000171735",152.97174995559,-0.0719153835687845,0.171013779272359,-0.420523912603855,0.67410276438385,0.999937207080344,1
"ENSG00000157191",303.516281541634,0.0924654780483365,0.1343664411796,0.68815901676478,0.491352649141607,0.999937207080344,1
"ENSG00000116663",8.86307199674591,0.578420687232034,0.684309031542995,0.845262389607512,0.397964355113361,0.999937207080344,1
"ENSG00000162511",3254.95368615119,0.0346641518470263,0.106937206297687,0.324154268164905,0.745821242990539,0.999937207080344,1
"ENSG00000204138",458.573792689465,0.0926119097292263,0.165459040467098,0.559727105075546,0.575665591248929,0.999937207080344,1
"ENSG00000116237",750.127182560941,0.139049382601193,0.121158082499416,1.14766905956821,0.251105208650558,0.999937207080344,1
