"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"ENSG00000160072",49.4371288760663,0.792329730320437,0.346077069515625,2.28946035468167,0.0220526188575735,1,0.0173074929064942
"ENSG00000131584",16.8631909082963,0.719382302613647,0.455031207528985,1.58095157147617,0.11388911124142,1,0.0962298253301474
"ENSG00000169972",22.1443270878326,1.28312726933091,0.442249368614524,2.90136597221311,0.00371539678501956,0.254716162102962,0.0962298253301474
"ENSG00000157911",20.2018097791972,0.474930860633492,0.402050454869472,1.18127179034701,0.237494770014107,1,0
"ENSG00000224051",21.0463307235646,0.325108003036425,0.671711556641656,0.483999418830698,0.628386281574568,1,0.091099484841949
"ENSG00000157933",354.701802644855,0.181854028274708,0.113679715740325,1.59970516367327,0.109664005810986,0.55362759043294,0.635341032274424
"ENSG00000162591",7.22310159827386,1.28103822521551,1.1155291852736,1.14836818446961,0.250816602000748,1,0
"ENSG00000116285",32.6150448233617,0.364686157566318,0.415686349787631,0.877310880553647,0.38031780397269,1,0.0173074929064942
"ENSG00000142655",49.5619746350306,0.518342044669229,0.402917009655581,1.28647347281842,0.198277870958679,1,0.0163847713770437
"ENSG00000162441",429.430584705768,-0.100290586221508,0.169984090680569,-0.589999839514231,0.555190757100831,0.88204045303165,1.21479173697006
"ENSG00000074800",3603.32434450324,-0.0739227644815884,0.102665615534846,-0.720034298693684,0.471503878027091,0.562988921861317,2.62282332438697
"ENSG00000116786",136.156507237778,0.635733420788296,0.200537646894923,3.17014501083382,0.0015236287875817,0.0378844553413016,0.948888307437668
"ENSG00000176022",41.7367094236252,-0.632844805429192,0.353210931440765,-1.79169088240782,0.0731824958533323,1,0.0171773713698462
"ENSG00000162496",17.4310974656477,-0.00890077502890219,0.633217280125138,-0.0140564310360311,0.988784960014925,1,0.091099484841949
"ENSG00000173614",50.7191328445117,0.524611449265813,0.353759733982872,1.4829597573454,0.138085103045149,1,0.0163847713770437
"ENSG00000162592",7.82209529472362,1.72592940811175,0.932387410665708,1.85108613476394,0.064157162462242,1,0
"ENSG00000049245",675.833265355848,0.0745531660257141,0.119391277708883,0.624443991691759,0.532336041941723,0.710457665930189,1.84030902076562
"ENSG00000171603",123.072872463615,0.000622355872114057,0.193331752616262,0.00321910841696735,0.997431527530586,1,0.775832991102868
"ENSG00000158109",326.722310265117,0.0680254864231348,0.173591238400179,0.391871658097836,0.695153045110713,1,0.665254068469351
"ENSG00000037637",432.633813998354,0.081745152703303,0.159083579644396,0.513850347635062,0.607356624205903,0.983997921284394,1.11166842180186
"ENSG00000159423",60.6070666492726,-0.24596036897368,0.366787823630392,-0.67057942801703,0.502488491443707,1,0.776117692802392
"ENSG00000142599",290.267050014906,0.161333336593173,0.132417534531549,1.21836837669511,0.223084016710491,0.757155407235463,0.665254068469351
"ENSG00000011021",217.81643992279,0.539743812717646,0.204696243948403,2.63680369657245,0.00836912475585628,0.136178367345382,0.62702831169408
"ENSG00000065526",3169.62188772031,0.214001266384331,0.0772789361344798,2.76920564760272,0.00561931543930887,0.057037123905576,1.83892905219738
"ENSG00000157916",673.308918107649,0.0806344386875776,0.0941956495746549,0.856031452107251,0.391980382525537,0.635190124333213,1.71403439105337
"ENSG00000157881",86.5018721563009,0.284072059481801,0.222281905041344,1.27798103686831,0.201256112666592,0.610418178698091,0.948888307437668
"ENSG00000116213",56.3527257057109,0.192898418844952,0.311188926568829,0.619875588028956,0.535339698947664,1,0.0163847713770437
"ENSG00000048707",2048.44284950523,-0.0126713619797921,0.116895564190646,-0.108398997579808,0.913679196266592,0.927957373885265,1.83892905219738
"ENSG00000184677",441.921319716369,0.370674013462189,0.123531274628898,3.00064914391709,0.00269404784773332,0.0703007672708294,0.636354435845837
"ENSG00000131697",70.0010679286774,0.187935017316967,0.220263143993434,0.853229523149679,0.393532034289009,0.939855320296045,0.776117692802392
"ENSG00000188807",44.2251317671948,0.37218946446805,0.37061705858242,1.00424267002616,0.315261659502889,1,0.0889290521973811
"ENSG00000198793",1589.8207911713,0.0774281020259317,0.0944064849444062,0.820156603346977,0.412126837608379,0.527571794144514,2.62282332438697
"ENSG00000171819",22.1598119183874,0.1789521688152,0.417358245916571,0.428773531051719,0.668088043138588,1,0
"ENSG00000116288",1337.57577861054,-0.209448921944286,0.112355015648464,-1.86417064458972,0.062297744366069,0.212194220388431,2.21199932640559
"ENSG00000169504",1678.45677343181,-0.356729832776752,0.118508454242595,-3.01016357910214,0.00261107025013565,0.0278097452908104,2.61864644060273
"ENSG00000181773",7.72920995565242,1.61542784763934,0.899479439516052,1.79595861413852,0.0725010992835411,1,0.0962298253301474
"ENSG00000233954",38.1501775436589,-0.130394010941381,0.312175151729647,-0.417695035043361,0.676170102836316,1,0.00474798066895694
"ENSG00000055070",300.493428882378,0.119054674360791,0.129018057069061,0.922775284835227,0.356124323175551,0.740372953889759,1.11166842180186
"ENSG00000175087",686.943144238202,-0.179797278917215,0.131084987072125,-1.37160847274057,0.170185354798176,0.377713749300401,2.15849043673764
"ENSG00000171735",152.97174995559,0.0440465196124121,0.179345114510374,0.245596428610071,0.805994654133186,1,0.635437006203604
"ENSG00000157191",303.516281541634,0.150679143647952,0.139993594322565,1.07632884473818,0.281780212757812,0.868687778986123,0.635341032274424
"ENSG00000116663",8.86307199674591,0.496355031481344,0.693566546766024,0.715655958027039,0.474203811830428,1,0
"ENSG00000162511",3254.95368615119,0.155952292449344,0.112081882713369,1.39141392590778,0.16409994413519,0.364002487891591,2.21199932640559
"ENSG00000204138",458.573792689465,-0.145187676215988,0.173601486288717,-0.836327380138477,0.402970753950513,0.785030172218393,1.11166842180186
"ENSG00000116237",750.127182560941,-0.0568623154280332,0.126925409314048,-0.447997888959652,0.654154720149069,0.724538186341823,2.15505300974062
"ENSG00000158195",1665.46340708345,0.10484599066551,0.100632499080149,1.04187008793258,0.297471913861103,0.485031048127697,2.21199932640559
"ENSG00000130772",38.0246939179448,0.702226637497711,0.347254969355357,2.0222219967113,0.0431534228078375,1,0.0171773713698462
"ENSG00000090020",40.768685440636,0.181938783713811,0.350596563227204,0.518940579562687,0.603802178565461,1,0.0171773713698462
"ENSG00000157978",100.95984228831,0.0177774048005378,0.277495490016439,0.0640637611785497,0.948919456936527,1,0.776117692802392
"ENSG00000130770",1056.31224423628,0.0891905618242526,0.0981726827180824,0.908506922240036,0.363610458165247,0.590362962697444,1.84030902076562
"ENSG00000162512",67.1789872253884,0.652893106010643,0.291662965607224,2.23851905452363,0.025187226249997,0.228770573352047,0.776117692802392
"ENSG00000158006",42.0875653434313,-0.176597645333787,0.409484632010957,-0.431268066072531,0.666273467123629,1,0.0163847713770437
"ENSG00000142784",263.387836966788,0.454705550388026,0.197029745316072,2.30780154366334,0.0210101770395631,0.162653497093977,1.19043500205944
"ENSG00000126698",1412.75931378123,-0.0446107085562303,0.108325190509723,-0.411822110317231,0.680469814133083,0.728416518421953,2.21199932640559
"ENSG00000130766",87.8536944516951,0.0730730776044652,0.279578355909954,0.261368865149205,0.793808064757914,1,0.776117692802392
"ENSG00000168528",41.9971533440071,0.234666296474835,0.390723690044148,0.600593981000539,0.548110447888649,1,0.0163847713770437
"ENSG00000117676",374.559051622518,0.100071975599506,0.156629755891617,0.638907818184638,0.522882901652348,1,0.635341032274424
"ENSG00000060688",448.636697947307,-0.317873453942709,0.138821891478593,-2.2897934220391,0.0220332946658704,0.238027318868432,0.635341032274424
"ENSG00000171612",79.0514201905621,-0.0561444977371567,0.263842501622111,-0.212795502589532,0.83148647182368,1,0.776117692802392
"ENSG00000116138",573.510894224692,-0.068240958833929,0.129476997556449,-0.527050828500852,0.598158291828204,0.744305782385893,1.84030902076562
