"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"ENSG00000160072",49.4371288760663,0.650247557871702,0.368598372352464,1.76410859798892,0.0777136971791931,0.168312797964116,1
"ENSG00000131584",16.8631909082963,0.852104474651064,0.479443980008182,1.77727640805193,0.0755227732861189,0.164709533062724,1
"ENSG00000169972",22.1443270878326,1.33419543332524,0.467532645559894,2.85369470131325,0.00432140383200869,0.0180723406194603,1
"ENSG00000157911",20.2018097791972,0.296698962055778,0.429192895381128,0.691295138500152,0.489380086299972,0.628869792051195,1
"ENSG00000224051",21.0463307235646,2.601615790809,0.694691541088395,3.74499419804791,0.000180397944660815,0.00140866963574006,1
"ENSG00000157933",354.701802644855,0.181633140774153,0.120796160661626,1.50363339181734,0.132675788349304,0.247741682284562,1
"ENSG00000162591",7.22310159827386,2.48711431376842,1.16878565054557,2.12794733799777,0.0333414501022236,0.0755733075989581,1.23709125116934
"ENSG00000116285",32.6150448233617,0.85755604260874,0.436842489338365,1.96307837158327,0.0496370682615665,0.114266243218318,1.06002184610404
"ENSG00000142655",49.5619746350306,0.665036356561163,0.427584011628868,1.55533494816078,0.119866318150664,0.230576248944628,1
"ENSG00000162441",429.430584705768,-0.612030974725905,0.182360360619018,-3.3561623405897,0.000790321624799824,0.00470577939056678,1
"ENSG00000074800",3603.32434450324,-0.929301948636764,0.109880955167705,-8.45735229747888,2.73516647464905e-17,3.26060635004216e-15,1
"ENSG00000116786",136.156507237778,0.743833882355053,0.212555070095436,3.49948783635731,0.00046615287240866,0.00303523989787192,1
"ENSG00000176022",41.7367094236252,-0.0774050663675001,0.369646277096707,-0.209403073055297,0.834133593992864,0.865378537208089,1.06002184610404
"ENSG00000162496",17.4310974656477,0.493077264155272,0.667439239445123,0.738759777691814,0.46005287988515,0.603649503498937,1
"ENSG00000173614",50.7191328445117,0.127520150379553,0.379162934250735,0.336320190768503,0.736629425793433,0.79871254887644,1.06002184610404
"ENSG00000162592",7.82209529472362,0.832926572398288,1.00522637017668,0.828596022855918,0.407333039261965,0.478386897231709,1.23709125116934
"ENSG00000049245",675.833265355848,-0.202955059325695,0.127663213407176,-1.58976931497392,0.111886812921526,0.218995647307605,1
"ENSG00000171603",123.072872463615,0.0968717390604205,0.204913947622348,0.472743511041781,0.636396179958068,0.753259483489248,1
"ENSG00000158109",326.722310265117,0.169061393276066,0.184547194935434,0.916087580389474,0.359620961270605,0.507882203066417,1
"ENSG00000037637",432.633813998354,0.340552031787582,0.168829870840102,2.0171313884977,0.0436818037975817,0.108296065675922,1
"ENSG00000159423",60.6070666492726,-1.0983175197767,0.398525956173474,-2.75594977632677,0.00585219822076749,0.0229567526325569,1
"ENSG00000142599",290.267050014906,0.151203862298786,0.140784587173827,1.07400863499421,0.282818811416772,0.430038002053564,1
"ENSG00000011021",217.81643992279,0.540407599266991,0.217740450491282,2.48188886377191,0.013068802822411,0.0429745040545309,1
"ENSG00000065526",3169.62188772031,0.231069153102624,0.0823043232063882,2.80749715325633,0.00499281211421963,0.0202883377084813,1
"ENSG00000157916",673.308918107649,0.310824531784212,0.0996619528634686,3.11878829235892,0.00181596391051507,0.00923889994904904,1
"ENSG00000157881",86.5018721563009,0.694572633997649,0.23333924033021,2.97666450364168,0.00291402702017641,0.0132814482076056,1
"ENSG00000116213",56.3527257057109,0.558455254122064,0.327985579842385,1.7026823386273,0.0886275317790705,0.185388364757075,1
"ENSG00000048707",2048.44284950523,0.21548361402379,0.124402554772461,1.73214781977687,0.0832472468264765,0.19395741648658,0.879770543795339
"ENSG00000184677",441.921319716369,0.50842885626811,0.131015536540754,3.8806760609644,0.000104166506876206,0.000891001276716789,1
"ENSG00000131697",70.0010679286774,0.903372084599666,0.22752416606967,3.97044454751697,7.1738652072279e-05,0.000658005538244784,1
"ENSG00000188807",44.2251317671948,0.784392844309654,0.390845895070434,2.00691079067953,0.0447591626729192,0.110387089997999,1
"ENSG00000198793",1589.8207911713,0.215502776632011,0.100404842538386,2.14633847515495,0.0318459840602625,0.0858091290703005,1
"ENSG00000171819",22.1598119183874,0.240915608272559,0.441559845277535,0.545601260733153,0.585340057551207,0.711339859616634,1
"ENSG00000116288",1337.57577861054,-0.810589525274917,0.120467454571519,-6.72870135886938,1.71183985081935e-11,1.05003990741651e-09,1
"ENSG00000169504",1678.45677343181,-0.448768432593794,0.126371119726615,-3.55119455746407,0.000383486822379545,0.00259496243898865,1
"ENSG00000181773",7.72920995565242,2.3862768701669,0.939536599946933,2.53984450451604,0.0110901763134814,0.0378415928744129,1
"ENSG00000233954",38.1501775436589,-1.02745738494797,0.346998511552519,-2.96098499198451,0.00306656881843242,0.013792252529288,1
"ENSG00000055070",300.493428882378,-0.0463095428723642,0.137805592519232,-0.336049807745657,0.736833307106258,0.829486799500832,1
"ENSG00000175087",686.943144238202,-0.0518073037946444,0.139381025462699,-0.371695527584628,0.71011955528956,0.809879553238093,1
"ENSG00000171735",152.97174995559,0.361452387623922,0.188920388054123,1.91325240937136,0.0557157470332097,0.130746132439101,1
"ENSG00000157191",303.516281541634,0.581694457461492,0.147477051883864,3.94430489375099,8.00317815152234e-05,0.000718748120543907,1
