"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"ENSG00000160072",49.4371288760663,0.791111508750388,0.368617493585723,2.14615834168601,0.0318603479242471,0.0872595986075209,1
"ENSG00000131584",16.8631909082963,0.323927345831128,0.467104758084989,0.693479011344581,0.488008993003903,0.637671840979485,1
"ENSG00000169972",22.1443270878326,1.18952925571894,0.462191695888386,2.57367076540078,0.0100625976262767,0.0360515400561796,1
"ENSG00000157911",20.2018097791972,0.324854264639681,0.42742100420558,0.76003345985176,0.447234584676716,0.602993558484239,1
"ENSG00000224051",21.0463307235646,3.85019538503614,0.721850847029725,5.33378245780128,9.6187750811351e-08,2.51576507607055e-06,1
"ENSG00000157933",354.701802644855,0.292913318897368,0.120711570697093,2.42655544291101,0.0152429210785947,0.0495340261736257,1
"ENSG00000162591",7.22310159827386,2.33622605989321,1.15969914657286,2.01451045885239,0.0439559679124097,0.111991301824081,1
"ENSG00000116285",32.6150448233617,0.650265793244286,0.433279141706461,1.50080105560408,0.133407025583536,0.255986879826083,1
"ENSG00000142655",49.5619746350306,0.689401394026866,0.426763628323848,1.61541740737033,0.106220333060886,0.216240386826268,1
"ENSG00000162441",429.430584705768,-0.673487024388965,0.182068144861255,-3.69909313297061,0.000216371199307681,0.00167721001516734,1
"ENSG00000074800",3603.32434450324,-0.928254891163948,0.109841428926335,-8.45086321470272,2.89156870438976e-17,4.67814508245915e-15,1
"ENSG00000116786",136.156507237778,1.09915439147244,0.213805479869024,5.14090841893189,2.73413305396422e-07,6.23019252236313e-06,1
"ENSG00000176022",41.7367094236252,0.327103522630698,0.371689723499799,0.880044569300218,0.378835165591556,0.536892535392863,1
"ENSG00000162496",17.4310974656477,0.744146996050208,0.668778329306693,1.1126960361016,0.265838998542397,0.418731664342215,1
"ENSG00000173614",50.7191328445117,0.170056393245236,0.378457646906177,0.449340618786319,0.653185960498544,0.772486529098372,1
"ENSG00000162592",7.82209529472362,-0.606478292563519,0.969936377977919,-0.625276364855887,0.531789689446324,0.674338621988536,1
"ENSG00000049245",675.833265355848,-0.243342370169057,0.127407861881732,-1.90994783661737,0.0561399299676081,0.135215803250354,1
"ENSG00000171603",123.072872463615,0.255151072361144,0.205014130476392,1.24455359134636,0.213295888444546,0.357545283693678,1
"ENSG00000158109",326.722310265117,0.351727607965578,0.184640429031204,1.90493279186509,0.0567888079951815,0.136517353119387,1
"ENSG00000037637",432.633813998354,0.380944038272948,0.168648067102195,2.25881058003535,0.02389517012542,0.0696558048057609,1
"ENSG00000159423",60.6070666492726,-0.921980651537376,0.398689316380957,-2.31252911391386,0.0207485428190821,0.0627275086561947,1
"ENSG00000142599",290.267050014906,0.0746597770815645,0.140105876055456,0.532881126641777,0.594115870713599,0.726604993070358,1
"ENSG00000011021",217.81643992279,0.303784022153085,0.216605590868523,1.40247544366239,0.160773318432702,0.292867593895825,1
"ENSG00000065526",3169.62188772031,0.114699739240041,0.0821753002315291,1.39579336998921,0.162776727481998,0.295613604671846,1
"ENSG00000157916",673.308918107649,0.420633590679383,0.0996034923111611,4.22308074666022,2.4098543347213e-05,0.000275848225026919,1
"ENSG00000157881",86.5018721563009,0.973737608400993,0.234404036701115,4.15409914481375,3.26571564792538e-05,0.000355617593391874,1
"ENSG00000116213",56.3527257057109,0.687015684757952,0.327906566987571,2.09515683406241,0.0361570530689009,0.0961290504226806,1
"ENSG00000048707",2048.44284950523,-0.00385113231228136,0.124226832829095,-0.0310008089603279,0.975268894527052,0.988235989251639,1
"ENSG00000184677",441.921319716369,0.525202844403048,0.130712862059994,4.01798901903008,5.8696931826394e-05,0.00057653317687243,1
"ENSG00000131697",70.0010679286774,0.94735932240251,0.226653659728307,4.17976627219752,2.91808859590631e-05,0.000324311612842384,1
"ENSG00000188807",44.2251317671948,1.04013285468923,0.39190745616981,2.65402670532134,0.00795375318329674,0.030105663739821,1
"ENSG00000198793",1589.8207911713,0.197978428401847,0.100276704757097,1.97432124321811,0.0483452268869517,0.120688562235815,1
"ENSG00000171819",22.1598119183874,-0.614910178612954,0.429098377253807,-1.43302844104964,0.151849709628641,0.280874139712707,1
"ENSG00000116288",1337.57577861054,-0.5866994104336,0.120525896271121,-4.86782864583584,1.1283109578227e-06,2.11590071635325e-05,1
"ENSG00000169504",1678.45677343181,-0.321571907396242,0.126363725778206,-2.54481185495169,0.0109336631930641,0.038371611636676,1
"ENSG00000181773",7.72920995565242,1.37254246789923,0.90202045414516,1.52163120203298,0.128101514821445,0.248884826788964,1
"ENSG00000233954",38.1501775436589,-0.977488016342913,0.346264714010497,-2.82295012108361,0.00475839739640575,0.020077813157338,1
"ENSG00000055070",300.493428882378,0.0783696603101535,0.137761792195137,0.568878054367529,0.569438899388709,0.705460150147847,1
"ENSG00000175087",686.943144238202,0.0151526684804568,0.139288077488458,0.108786543354454,0.913371797316329,0.951866716168899,1
