"","BasoE.Infected.12","BasoE.Infected.22","BasoE.Infected.31","BasoE.Infected.32"
"PF3D7_1429900",139.374561854223,60.9369392955238,176.59066989082,151.651358217706
"PF3D7_1423700",1277.25344744019,1388.00806173138,1094.86215332308,1488.37209302326
"PF3D7_1431200",106.091084396498,270.830841313439,164.817958564765,239.202657807309
"PF3D7_1427900",145.615213877546,126.387725946272,315.508663538265,270.47097908931
"PF3D7_1405800",391.080860128266,613.883240310462,393.208558290226,451.827242524917
"PF3D7_1469300",99.8504323731743,187.324665241796,247.226937847148,162.595270666406
"PF3D7_1407200",43.6845641632638,24.8261604537319,65.9271834259061,21.8878248974008
"PF3D7_1405900",158.096517924193,264.060070280603,454.42665718571,411.178424858315
"PF3D7_1468100",4680.48901749255,3403.44090583889,4200.5034011363,4719.95309751808
"PF3D7_1446500",1179.48323240812,1834.87894989855,1450.39803536993,1857.33828415087
"PF3D7_1434600",422.284120244883,647.737095474642,489.744791163874,586.281024037522
"PF3D7_1476800",97.7702150320666,153.470810077616,40.0272185085858,50.0293140512019
"PF3D7_1412800",189.29977804081,128.644649623884,197.781550277718,107.875708422904
"PF3D7_1410200",459.728032384824,561.973995725387,567.444685915834,540.94195817862
"PF3D7_1419600",232.984342204073,74.4784813611958,49.4453875694296,128.200117256205
"PF3D7_1441200",1025.54714916614,1277.41880152839,619.244615750475,617.549345319523
"PF3D7_1429400",260.027167638475,157.98465743284,343.763170720796,606.605432870823
"PF3D7_1439200",97.7702150320666,115.103107558212,108.308944199703,114.129372679304
"PF3D7_1419700",621.984984991232,595.827850889566,659.271834259061,580.027359781122
"PF3D7_1411500",197.620647405241,97.0477181373158,218.972430664617,175.102599179207
"PF3D7_1467600",81.1284763032042,135.41542065672,190.717923482085,103.185460230604
"PF3D7_1414300",969.381280956234,927.59563149853,1061.89856161013,734.805550127028
"PF3D7_1447200",199.700864746349,277.601612346275,202.49063480814,211.061168653508
"PF3D7_1440200",35.3636947988326,74.4784813611958,28.2545071825312,37.5219855384014
"PF3D7_1464600",1075.47236535273,785.409439808974,937.107821553951,1330.46707054915
"PF3D7_1414100",122.73282312536,187.324665241796,94.1816906084373,89.1147156537033
"PF3D7_1402700",235.064559545181,72.2215576835838,131.854366851812,137.580613640805
"PF3D7_1408200",1347.98083703785,877.943310591066,854.698842271568,1081.88391635724
"PF3D7_1453600",54.0856508688028,56.4230919402999,108.308944199703,53.156146179402
"PF3D7_1418900",230.904124862966,115.103107558212,218.972430664617,442.446746140317
"PF3D7_1417700",56.1658682099106,81.2492523940318,65.9271834259061,143.834277897205
"PF3D7_1412500",168.497604629732,164.755428465676,414.399438677124,51.5927301153019
"PF3D7_1425900",291.230427755092,498.780132752251,362.599508842483,481.532147742818
"PF3D7_1428200",289.150210413984,85.7630997492558,275.481445029679,46.9024819230018
"PF3D7_1423200",29.1230427755092,29.3400078089559,183.654296686453,123.509869063905
"PF3D7_1464400",60.3263028921262,155.727733755228,72.9908102215389,60.9732264999023
"PF3D7_1466400",1085.87345205827,638.709400764194,1410.37081686135,798.90560875513
"PF3D7_1457400",320.353470530601,115.103107558212,190.717923482085,515.927301153019
"PF3D7_1476000",47.8449988454794,189.581588919408,169.527043095187,23.4512409615009
"PF3D7_1442400",330.75455723614,160.241581110452,240.163311051515,243.892905999609
"PF3D7_1401500",66.5669549154496,38.3677025194039,30.6090494477421,118.819620871604
"PF3D7_1426000",2358.96646481624,2947.54232296126,2413.4058218412,1808.87238616377
"PF3D7_1445100",538.77629134692,661.278637540314,866.471553597623,492.476060191518
