"","PolyE.Infected.11","PolyE.Infected.12","PolyE.Infected.21","PolyE.Infected.22","PolyE.Infected.31"
"PF3D7_1468600",15.4260740997402,38.2803029612549,21.9958207940491,42.4870965870606,40.8418055001445
"PF3D7_1429900",80.6902337524875,388.271644321299,121.976824403363,135.631885258693,282.02341482205
"PF3D7_1461200",34.4120114532667,21.8744588350028,7.99848028874514,16.3411909950233,20.2059458790188
"PF3D7_1423700",1245.95213882517,1833.80879900107,1759.66566352393,1794.26277125356,1803.91806188006
"PF3D7_1431200",129.341698220899,193.224386375858,363.930853137904,272.080830067138,304.80884315371
"PF3D7_1455300",34.4120114532667,23.6973304045863,225.95706815705,20.4264887437791,36.9725818211834
"PF3D7_1427900",224.271384988531,200.515872654192,31.9939211549806,130.729527960186,190.021874011198
"PF3D7_1405800",480.581539261139,636.182177784664,583.889061078395,605.441126365613,579.093810617838
"PF3D7_1469300",136.461424728471,21.8744588350028,221.957828012678,163.411909950233,363.277112080232
"PF3D7_1407200",62.8909174835564,25.5202019741699,51.9901218768434,86.6083122736234,168.956100647966
"PF3D7_1405900",312.081345248591,357.282827638379,383.927053859767,383.200928833296,505.148646975471
"PF3D7_1468100",3155.22546393918,3478.03895476544,3869.26483968046,3262.5187821564,3978.42176945618
"PF3D7_1446500",1133.22313578861,1562.20093513312,1715.67402193583,1593.26612201477,2237.2711139237
"PF3D7_1474800",62.8909174835564,60.1547617962576,49.9905018046571,52.2918111840745,71.7955949318329
"PF3D7_1434600",443.796285638681,375.511543334214,639.878423099611,397.090941179066,531.803298986091
"PF3D7_1476800",64.0775385681518,54.6861470875069,51.9901218768434,108.668920116905,82.5434384845025
"PF3D7_1428500",70.0106439911288,60.1547617962576,335.936172127296,111.93715831591,147.460413542627
"PF3D7_1412800",97.3029289368231,202.338744223776,165.968465991462,85.7912527238723,96.3006782319195
"PF3D7_1410200",433.116695877322,492.175323787563,449.914516241914,599.721709517355,491.821320970161
"PF3D7_1419600",36.7852536224575,85.6749637704276,119.977204331177,124.193051562177,121.66558901622
"PF3D7_1460200",47.4648433838162,432.020561991305,61.9882222377748,52.2918111840745,61.9075788633769
"PF3D7_1441200",714.345892926433,577.85028755799,449.914516241914,550.698136532285,662.497076586554
"PF3D7_1452100",15.4260740997402,10.9372294175014,27.994681010608,25.3288460422861,15.906808457951
"PF3D7_1436600",13.0528319305494,25.5202019741699,9.99810036093142,13.0729527960186,27.9443932369409
"PF3D7_1459200",65.2641596527472,120.309523592515,75.9855627430788,129.095408860684,177.984289232208
"PF3D7_1429400",224.271384988531,699.982682720089,481.908437396895,416.700370373094,410.997537454085
"PF3D7_1439200",34.4120114532667,41.926046100422,75.9855627430788,58.0112280323327,94.5810232634924
"PF3D7_1439500",45.0916012146253,25.5202019741699,29.9943010827943,86.6083122736234,113.067314174084
"PF3D7_1419700",573.13798385958,508.581167913815,1001.80965616533,691.232379089485,670.235523944476
"PF3D7_1411500",181.553025943097,160.412698123354,257.950989312031,285.153782863156,247.630315453507
"PF3D7_1452000",22.5458006073127,18.2287156958356,57.9889820934023,30.2312033407931,29.2341344632613
"PF3D7_1455000",17.7993162689311,1.82287156958357,35.9931612993531,34.3165010895489,36.9725818211834
"PF3D7_1467600",161.380467504975,266.1392491592,101.980623681501,93.9618482213839,100.169901910881
"PF3D7_1442500",34.4120114532667,27.3430735437535,9.99810036093142,40.8529774875582,54.1691315054548
"PF3D7_1404700",42.7183590454345,20.0515872654192,31.9939211549806,60.4624066815862,52.8793902791344
"PF3D7_1414300",1066.77235505127,548.684342444653,771.853347863906,632.404091507401,531.803298986091
"PF3D7_1428900",13.0528319305494,56.5090186570905,3.99924014437257,14.707071895521,45.1409429212123
"PF3D7_1447200",275.296091626134,437.489176700056,299.943010827943,190.374875092021,182.713340395383
"PF3D7_1416900",22.5458006073127,0,69.98670252652,18.7923696442768,12.0375847789899
"PF3D7_1440200",49.838085553007,27.3430735437535,23.9954408662354,48.2065134353187,31.3837031737952
"PF3D7_1464600",1095.25126108156,902.321426943865,1127.78572071306,1004.98324619393,1323.27449820468
"PF3D7_1452700",73.570507244915,20.0515872654192,29.9943010827943,57.1941684825815,40.4118917580377
"PF3D7_1414100",189.859373535265,173.172799110439,209.96010757956,223.874316631819,477.634167480637
"PF3D7_1402700",112.729003036563,158.58982655377,85.9836631040102,137.266004358196,108.33826301091
"PF3D7_1408200",519.740035052787,862.218252413026,657.875003749288,840.754276693948,1130.67314174084
"PF3D7_1453600",33.2253903686713,49.2175323787563,59.9886021655885,82.5230145248676,100.169901910881
"PF3D7_1469000",17.7993162689311,1.82287156958357,39.9924014437257,31.8653224402954,9.02818858424246
"PF3D7_1444100",62.8909174835564,196.870129515025,119.977204331177,160.143671751228,63.627233831804
"PF3D7_1418900",162.56708858957,156.766954984187,215.958967796119,231.22785257958,182.713340395383
"PF3D7_1417700",65.2641596527472,30.9888166829206,67.9870824543337,40.0359179378071,38.6922367896105
"PF3D7_1415900",27.2922849456943,27.3430735437535,57.9889820934023,18.7923696442768,5.58887864738819
"PF3D7_1412500",258.683396441798,92.9664500487618,301.942630900129,294.95849746017,123.815157726754
"PF3D7_1425900",364.292672970789,333.585497233792,257.950989312031,450.199811912892,513.746921817607
"PF3D7_1467000",16.6126951843356,18.2287156958356,0,26.9629651417884,47.720425373853
"PF3D7_1473700",62.8909174835564,20.0515872654192,39.9924014437257,30.2312033407931,98.8801606845603
"PF3D7_1465500",32.0387692840759,72.9148627833426,93.9821433927554,37.5847392885536,107.478435526696
"PF3D7_1428200",154.260740997402,142.183982427518,221.957828012678,142.985421206454,122.95533024254
"PF3D7_1423200",122.221971713327,91.1435784791782,275.947569961707,109.485979666656,147.890327284734
"PF3D7_1423500",11.866210845954,25.5202019741699,37.9927813715394,21.2435482935303,53.3093040212412
"PF3D7_1405400",13.0528319305494,38.2803029612549,85.9836631040102,28.5970842412908,61.0477513791633
"PF3D7_1448100",68.8240229065334,9.11435784791782,131.974924764295,92.3277291218816,201.199631305975
"PF3D7_1419200",21.3591795227173,32.8116882525042,37.9927813715394,71.9012403781025,17.1965496842713
"PF3D7_1464400",61.704296398961,204.161615793359,37.9927813715394,37.5847392885536,43.4212879527852
"PF3D7_1466400",1073.89208155884,1299.70742911308,1079.79483898059,1082.60390342029,1153.02865633039
"PF3D7_1457400",192.232615704455,235.15043247628,293.944150611384,315.384986203949,309.967808058991
"PF3D7_1476000",29.6655271148851,49.2175323787563,73.9859426708925,42.4870965870606,20.2059458790188
"PF3D7_1442400",295.468650064256,359.105699207962,243.953648806727,488.601610751196,593.280964107361
"PF3D7_1401500",103.2360343598,91.1435784791782,101.980623681501,116.839515614417,105.328866816162
